Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
B6,2/12/2023,2516,N324JB,JFK,23:31,23:49,71,71,18,23:44,5,18,0,0,0,0
B6,2/13/2023,116,N328JB,JFK,14:18,14:03,73,68,-15,13:59,4,0,0,0,0,0
B6,2/13/2023,656,N775JB,MCO,19:01,19:05,161,170,4,19:02,3,0,0,0,0,0
B6,2/13/2023,2516,N228JB,JFK,23:31,1:43,71,69,132,1:39,4,9,0,0,0,123
B6,2/14/2023,116,N375JB,JFK,14:18,14:02,73,67,-16,13:59,3,0,0,0,0,0
B6,2/14/2023,656,N775JB,MCO,19:01,19:07,161,168,6,19:02,5,0,0,0,0,0
B6,2/14/2023,2516,N337JB,JFK,23:31,23:15,71,64,-16,23:10,5,0,0,0,0,0
B6,2/15/2023,116,N334JB,JFK,14:18,14:05,73,70,-13,14:02,3,0,0,0,0,0
B6,2/15/2023,656,N661JB,MCO,19:01,19:31,161,156,30,19:29,2,30,0,0,0,0
B6,2/15/2023,2516,N337JB,JFK,23:31,23:13,71,62,-18,23:10,3,0,0,0,0,0
B6,2/16/2023,16,N206JB,JFK,22:47,23:19,72,72,32,23:16,3,15,0,0,0,17
B6,2/16/2023,56,N239JB,MCO,16:51,16:45,164,160,-6,16:40,5,0,0,0,0,0
B6,2/16/2023,116,N355JB,JFK,14:43,14:24,73,60,-19,14:20,4,0,0,0,0,0
B6,2/17/2023,16,N184JB,JFK,22:47,23:57,72,80,70,23:52,5,44,0,8,0,18
B6,2/17/2023,56,N239JB,MCO,16:51,18:04,164,161,73,17:59,5,22,0,0,0,51
B6,2/17/2023,116,N228JB,JFK,14:43,15:23,73,77,40,15:20,3,36,0,4,0,0
B6,2/18/2023,16,N355JB,JFK,22:47,22:41,72,73,-6,22:38,3,0,0,0,0,0
B6,2/18/2023,56,N239JB,MCO,16:51,16:54,164,168,3,16:49,5,0,0,0,0,0
B6,2/18/2023,116,N354JB,JFK,14:43,14:34,73,62,-9,14:31,3,0,0,0,0,0
B6,2/19/2023,16,N187JB,JFK,22:47,23:48,72,86,61,23:44,4,11,0,14,0,36
B6,2/19/2023,56,N239JB,MCO,16:51,16:45,164,169,-6,16:40,5,0,0,0,0,0
B6,2/19/2023,116,N279JB,JFK,14:43,14:34,73,70,-9,14:29,5,0,0,0,0,0
B6,2/20/2023,16,N329JB,JFK,22:47,22:52,72,76,5,22:46,6,0,0,0,0,0
B6,2/20/2023,56,N375JB,MCO,16:51,16:56,164,165,5,16:51,5,0,0,0,0,0
B6,2/20/2023,116,N179JB,JFK,14:43,14:42,73,81,-1,14:39,3,0,0,0,0,0
B6,2/21/2023,16,N279JB,JFK,22:47,22:48,72,72,1,22:45,3,0,0,0,0,0
B6,2/21/2023,56,N317JB,MCO,16:51,17:03,164,177,12,16:59,4,0,0,0,0,0
B6,2/21/2023,116,N184JB,JFK,14:43,14:40,73,65,-3,14:37,3,0,0,0,0,0
B6,2/22/2023,16,N355JB,JFK,22:47,0:00,72,0,0,0:00,0,0,0,0,0,0
B6,2/22/2023,56,N368JB,MCO,16:51,16:45,164,157,-6,16:39,6,0,0,0,0,0
B6,2/22/2023,116,N187JB,JFK,14:43,14:33,73,69,-10,14:31,2,0,0,0,0,0
B6,2/23/2023,16,N193JB,JFK,22:47,22:45,72,79,-2,22:40,5,0,0,0,0,0
B6,2/23/2023,56,N368JB,MCO,16:51,17:02,164,164,11,16:59,3,0,0,0,0,0
B6,2/23/2023,116,N323JB,JFK,14:43,15:28,73,66,45,15:25,3,34,0,0,0,11
B6,2/24/2023,16,N239JB,JFK,22:47,23:43,72,84,56,23:38,5,44,0,12,0,0
B6,2/24/2023,56,N258JB,MCO,16:51,16:51,164,167,0,16:46,5,0,0,0,0,0
B6,2/24/2023,116,N339JB,JFK,14:43,14:47,73,79,4,14:43,4,0,0,0,0,0
B6,2/25/2023,16,N337JB,JFK,22:47,23:03,72,76,16,22:53,10,12,0,4,0,0
B6,2/25/2023,56,N535JB,MCO,16:51,19:43,164,160,172,19:38,5,60,0,0,0,112
B6,2/25/2023,116,N323JB,JFK,14:43,15:09,73,82,26,15:03,6,17,0,9,0,0
B6,2/26/2023,16,N183JB,JFK,22:47,22:43,72,77,-4,22:38,5,0,0,0,0,0
B6,2/26/2023,56,N258JB,MCO,16:51,16:59,164,177,8,16:55,4,0,0,0,0,0
B6,2/26/2023,116,N281JB,JFK,14:43,15:37,73,88,54,15:34,3,39,0,15,0,0
