Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Origin Airport,Scheduled Arrival Time,Actual Arrival Time,Scheduled Elapsed Time (Minutes),Actual Elapsed Time (Minutes),Arrival Delay (Minutes),Wheels-on Time,Taxi-In time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,2/12/2023,1998,N429UA,ORD,21:08,20:47,109,94,-21,20:42,5,0,0,0,0,0
UA,2/13/2023,604,N880UA,DEN,14:58,14:49,196,191,-9,14:37,12,0,0,0,0,0
UA,2/13/2023,765,N889UA,EWR,23:12,23:04,73,73,-8,22:59,5,0,0,0,0,0
UA,2/13/2023,1998,N820UA,ORD,21:08,21:15,109,118,7,21:09,6,0,0,0,0,0
UA,2/14/2023,604,N848UA,DEN,14:58,15:34,196,190,36,15:30,4,36,0,0,0,0
UA,2/14/2023,765,N805UA,EWR,23:12,22:55,73,63,-17,22:49,6,0,0,0,0,0
UA,2/14/2023,1693,N836UA,ORD,16:43,17:14,106,117,31,17:08,6,20,0,11,0,0
UA,2/14/2023,1998,N889UA,ORD,21:08,21:53,109,159,45,21:48,5,0,0,45,0,0
UA,2/15/2023,604,N840UA,DEN,14:58,15:42,196,204,44,15:37,5,36,0,8,0,0
UA,2/15/2023,765,N853UA,EWR,23:12,23:32,73,70,20,23:25,7,20,0,0,0,0
UA,2/15/2023,1693,N806UA,ORD,16:43,16:37,106,102,-6,16:22,15,0,0,0,0,0
UA,2/15/2023,1998,N834UA,ORD,21:08,21:06,109,91,-2,21:03,3,0,0,0,0,0
UA,2/16/2023,604,N840UA,DEN,14:58,15:30,196,206,32,15:24,6,0,0,10,0,22
UA,2/16/2023,765,N826UA,EWR,23:12,23:47,73,62,35,23:40,7,35,0,0,0,0
UA,2/16/2023,1693,N497UA,ORD,16:43,17:27,106,112,44,17:22,5,0,38,6,0,0
UA,2/16/2023,1998,N834UA,ORD,21:08,21:24,109,89,16,21:18,6,16,0,0,0,0
UA,2/17/2023,604,N849UA,DEN,14:58,15:19,196,227,21,14:36,43,0,0,21,0,0
UA,2/17/2023,765,N33286,EWR,23:28,23:30,73,76,2,23:20,10,0,0,0,0,0
UA,2/17/2023,1693,N871UA,ORD,16:43,16:35,106,102,-8,16:28,7,0,0,0,0,0
UA,2/17/2023,1998,N405UA,ORD,21:08,21:13,109,114,5,21:07,6,0,0,0,0,0
UA,2/18/2023,454,N14735,ORD,23:59,23:48,114,92,-11,23:41,7,0,0,0,0,0
UA,2/18/2023,604,N818UA,DEN,14:58,14:42,196,181,-16,14:36,6,0,0,0,0,0
UA,2/18/2023,765,N27253,EWR,23:37,0:34,73,61,57,0:27,7,42,0,0,0,15
UA,2/18/2023,1693,N444UA,ORD,16:43,16:35,106,103,-8,16:29,6,0,0,0,0,0
UA,2/19/2023,604,N818UA,DEN,14:58,14:50,196,191,-8,14:19,31,0,0,0,0,0
UA,2/19/2023,765,N815UA,EWR,23:12,22:59,73,66,-13,22:53,6,0,0,0,0,0
UA,2/19/2023,1693,N880UA,ORD,16:43,16:29,106,92,-14,16:25,4,0,0,0,0,0
UA,2/19/2023,1998,N873UA,ORD,21:08,20:53,109,95,-15,20:50,3,0,0,0,0,0
UA,2/20/2023,604,N893UA,DEN,14:58,14:48,196,189,-10,14:43,5,0,0,0,0,0
UA,2/20/2023,765,N876UA,EWR,23:12,23:03,73,69,-9,22:58,5,0,0,0,0,0
UA,2/20/2023,1693,N877UA,ORD,16:43,16:38,106,102,-5,16:33,5,0,0,0,0,0
UA,2/20/2023,1998,N815UA,ORD,21:08,20:52,109,98,-16,20:45,7,0,0,0,0,0
UA,2/21/2023,604,N804UA,DEN,14:58,15:59,196,184,61,15:54,5,61,0,0,0,0
UA,2/21/2023,765,N838UA,EWR,23:12,23:51,73,68,39,23:46,5,2,0,0,0,37
UA,2/21/2023,1693,N882UA,ORD,16:43,16:34,106,101,-9,16:23,11,0,0,0,0,0
UA,2/21/2023,1998,N880UA,ORD,21:08,21:17,109,97,9,21:12,5,0,0,0,0,0
UA,2/22/2023,604,N851UA,DEN,14:58,14:53,196,191,-5,14:48,5,0,0,0,0,0
UA,2/22/2023,765,N872UA,EWR,23:12,23:25,73,87,13,23:02,23,0,0,0,0,0
UA,2/22/2023,1693,N823UA,ORD,16:43,18:03,106,100,80,17:58,5,75,0,0,0,5
UA,2/22/2023,1998,N882UA,ORD,21:08,23:03,109,109,115,22:57,6,25,0,0,0,90
UA,2/23/2023,604,N4888U,DEN,14:58,14:56,196,179,-2,14:43,13,0,0,0,0,0
UA,2/23/2023,765,N849UA,EWR,23:12,23:43,73,74,31,23:35,8,2,0,1,0,28
UA,2/23/2023,1693,N884UA,ORD,16:43,16:27,106,90,-16,16:20,7,0,0,0,0,0
UA,2/23/2023,1998,N890UA,ORD,21:08,20:55,109,101,-13,20:51,4,0,0,0,0,0
UA,2/24/2023,604,N816UA,DEN,14:58,14:40,196,178,-18,14:24,16,0,0,0,0,0
UA,2/24/2023,765,N34222,EWR,23:28,23:28,73,80,0,23:11,17,0,0,0,0,0
UA,2/24/2023,1693,N837UA,ORD,16:43,17:44,106,122,61,17:08,36,0,0,16,0,45
UA,2/24/2023,1998,N846UA,ORD,21:08,21:21,109,113,13,21:13,8,0,0,0,0,0
UA,2/25/2023,454,N24211,ORD,0:09,23:49,114,88,-20,23:43,6,0,0,0,0,0
UA,2/25/2023,604,N843UA,DEN,14:58,15:59,196,202,61,15:12,47,55,0,6,0,0
UA,2/25/2023,765,N78540,EWR,23:37,0:22,73,66,45,0:14,8,45,0,0,0,0
UA,2/25/2023,1693,N486UA,ORD,16:43,18:00,106,182,77,16:48,72,0,0,77,0,0
UA,2/26/2023,604,N882UA,DEN,14:58,14:46,196,185,-12,14:32,14,0,0,0,0,0
UA,2/26/2023,765,N845UA,EWR,23:12,23:45,73,65,33,23:40,5,33,0,0,0,0
UA,2/26/2023,1693,N881UA,ORD,16:43,16:30,106,98,-13,16:26,4,0,0,0,0,0
UA,2/26/2023,1998,N829UA,ORD,21:08,21:03,109,111,-5,20:57,6,0,0,0,0,0
UA,2/27/2023,604,N840UA,DEN,14:58,14:48,196,182,-10,14:42,6,0,0,0,0,0
UA,2/27/2023,765,N491UA,EWR,23:12,0:02,73,109,50,23:56,6,6,0,36,0,8
UA,2/27/2023,1693,N851UA,ORD,16:43,16:54,106,94,11,16:50,4,0,0,0,0,0
UA,2/27/2023,1998,N418UA,ORD,21:08,20:59,109,104,-9,20:54,5,0,0,0,0,0
UA,2/28/2023,604,N852UA,DEN,14:58,14:45,196,182,-13,14:40,5,0,0,0,0,0
UA,2/28/2023,765,N423UA,EWR,23:12,23:22,73,58,10,23:17,5,0,0,0,0,0
UA,2/28/2023,1693,N37263,ORD,16:43,16:44,106,94,1,16:39,5,0,0,0,0,0
UA,2/28/2023,1998,N853UA,ORD,21:08,20:52,109,97,-16,20:47,5,0,0,0,0,0
UA,3/1/2023,604,N818UA,DEN,14:58,14:57,196,176,-1,14:51,6,0,0,0,0,0
UA,3/1/2023,765,N824UA,EWR,23:12,23:08,73,75,-4,23:03,5,0,0,0,0,0
UA,3/1/2023,1693,N446UA,ORD,16:43,16:37,106,91,-6,16:32,5,0,0,0,0,0
UA,3/1/2023,1998,N815UA,ORD,21:08,20:44,109,89,-24,20:40,4,0,0,0,0,0
UA,3/2/2023,604,N852UA,DEN,14:58,15:09,196,203,11,14:50,19,0,0,0,0,0
UA,3/2/2023,765,N876UA,EWR,23:12,23:20,73,89,8,23:12,8,0,0,0,0,0
UA,3/2/2023,1693,N409UA,ORD,16:43,16:43,106,93,0,16:37,6,0,0,0,0,0
UA,3/2/2023,1998,N840UA,ORD,21:08,20:52,109,96,-16,20:43,9,0,0,0,0,0
UA,3/3/2023,538,,ORD,21:16,0:00,107,0,0,0:00,0,0,0,0,0,0
UA,3/3/2023,604,N818UA,DEN,14:59,14:50,196,193,-9,14:39,11,0,0,0,0,0
UA,3/3/2023,776,,EWR,23:11,0:00,71,0,0,0:00,0,0,0,0,0,0
UA,3/4/2023,408,N895UA,ORD,23:55,23:54,110,100,-1,23:47,7,0,0,0,0,0
UA,3/4/2023,604,,DEN,14:56,0:00,196,0,0,0:00,0,0,0,0,0,0
UA,3/4/2023,776,N24729,EWR,23:11,23:07,71,69,-4,23:03,4,0,0,0,0,0
UA,3/5/2023,408,N481UA,ORD,23:55,23:36,110,95,-19,23:31,5,0,0,0,0,0
UA,3/5/2023,604,N884UA,DEN,14:59,15:01,196,194,2,14:37,24,0,0,0,0,0
UA,3/5/2023,776,N87527,EWR,23:11,23:55,71,61,44,23:44,11,11,0,0,0,33
UA,3/6/2023,538,N802UA,ORD,21:17,20:52,108,88,-25,20:48,4,0,0,0,0,0
UA,3/6/2023,604,N890UA,DEN,14:59,14:49,196,178,-10,14:39,10,0,0,0,0,0
UA,3/6/2023,776,N826UA,EWR,23:11,23:05,71,70,-6,23:01,4,0,0,0,0,0
UA,3/7/2023,538,N878UA,ORD,21:17,21:01,108,100,-16,20:58,3,0,0,0,0,0
UA,3/7/2023,604,N812UA,DEN,14:59,14:51,196,190,-8,14:34,17,0,0,0,0,0
UA,3/7/2023,776,N837UA,EWR,23:11,0:33,71,55,82,0:28,5,16,0,0,0,66
UA,3/8/2023,538,N896UA,ORD,21:17,21:27,108,113,10,21:21,6,0,0,0,0,0
UA,3/8/2023,604,N875UA,DEN,14:59,14:56,196,196,-3,14:48,8,0,0,0,0,0
UA,3/8/2023,776,N854UA,EWR,23:11,23:44,71,60,33,23:38,6,33,0,0,0,0
UA,3/9/2023,538,N893UA,ORD,21:17,21:23,108,117,6,21:17,6,0,0,0,0,0
UA,3/9/2023,604,N429UA,DEN,14:59,15:24,196,188,25,15:19,5,11,0,0,0,14
UA,3/9/2023,776,N874UA,EWR,23:11,0:08,71,54,57,0:04,4,0,0,0,0,57
UA,3/10/2023,538,N16701,ORD,21:16,21:54,107,93,38,21:48,6,1,0,0,0,37
